DateTime,Temperature (C),Temperature (F),Condition,Humidity,Wind (kph),Pressure (mb)
2025-04-11 00:00,29.3,84.8,Partly Cloudy ,56,15.5,1006.0
2025-04-11 01:00,28.9,84.0,Partly Cloudy ,56,14.0,1006.0
2025-04-11 02:00,29.2,84.6,Clear ,55,13.3,1005.0
2025-04-11 03:00,29.0,84.2,Clear ,56,15.8,1005.0
2025-04-11 04:00,28.6,83.5,Clear ,58,15.5,1006.0
2025-04-11 05:00,28.1,82.6,Patchy rain nearby,62,13.0,1007.0
2025-04-11 06:00,28.0,82.4,Sunny,64,12.6,1007.0
2025-04-11 07:00,29.7,85.5,Sunny,59,15.8,1008.0
2025-04-11 08:00,31.9,89.3,Sunny,54,12.6,1009.0
2025-04-11 09:00,33.6,92.6,Sunny,47,11.5,1009.0
2025-04-11 10:00,35.1,95.2,Sunny,42,11.2,1008.0
2025-04-11 11:00,36.7,98.1,Sunny,37,13.0,1007.0
2025-04-11 12:00,38.2,100.7,Sunny,33,15.1,1005.0
2025-04-11 13:00,39.2,102.6,Sunny,29,15.8,1004.0
2025-04-11 14:00,39.8,103.7,Partly Cloudy ,27,17.6,1002.0
2025-04-11 15:00,38.9,102.0,Partly Cloudy ,30,27.0,1002.0
2025-04-11 16:00,35.4,95.7,Sunny,42,32.8,1002.0
2025-04-11 17:00,33.7,92.6,Sunny,50,28.8,1003.0
2025-04-11 18:00,31.2,88.1,Patchy rain nearby,59,14.0,1005.0
2025-04-11 19:00,29.0,84.3,Moderate or heavy rain shower,71,13.3,1007.0
2025-04-11 20:00,28.8,83.8,Light rain shower,71,11.2,1008.0
2025-04-11 21:00,28.7,83.7,Light rain shower,71,5.0,1009.0
2025-04-11 22:00,28.4,83.1,Patchy rain nearby,73,7.2,1009.0
2025-04-11 23:00,28.2,82.8,Patchy rain nearby,75,4.3,1009.0
