DateTime,Temperature (C),Temperature (F),Condition,Humidity,Wind (kph),Pressure (mb)
2025-04-11 00:00,29.2,84.5,Partly Cloudy ,53,13.7,1007.0
2025-04-11 01:00,28.8,83.9,Partly Cloudy ,53,11.5,1006.0
2025-04-11 02:00,29.7,85.4,Clear ,53,14.0,1006.0
2025-04-11 03:00,28.8,83.8,Clear ,57,15.1,1006.0
2025-04-11 04:00,28.4,83.2,Clear ,61,16.2,1006.0
2025-04-11 05:00,28.1,82.7,Clear ,63,16.9,1007.0
2025-04-11 06:00,28.2,82.8,Sunny,64,16.2,1007.0
2025-04-11 07:00,29.8,85.6,Sunny,58,20.9,1008.0
2025-04-11 08:00,31.5,88.7,Sunny,55,18.0,1009.0
2025-04-11 09:00,33.3,91.9,Sunny,48,15.8,1009.0
2025-04-11 10:00,35.0,95.0,Sunny,42,13.3,1008.0
2025-04-11 11:00,36.6,97.8,Sunny,38,12.6,1007.0
2025-04-11 12:00,37.8,100.1,Sunny,34,13.3,1006.0
2025-04-11 13:00,38.8,101.9,Sunny,30,14.8,1004.0
2025-04-11 14:00,39.4,103.0,Partly Cloudy ,28,16.9,1003.0
2025-04-11 15:00,38.7,101.6,Partly Cloudy ,31,22.3,1002.0
2025-04-11 16:00,36.1,96.9,Sunny,40,29.9,1002.0
2025-04-11 17:00,33.6,92.5,Patchy rain nearby,50,31.7,1003.0
2025-04-11 18:00,31.6,88.9,Patchy rain nearby,58,27.7,1004.0
2025-04-11 19:00,29.9,85.9,Patchy rain nearby,66,23.8,1006.0
2025-04-11 20:00,30.0,85.9,Partly Cloudy ,60,9.7,1007.0
2025-04-11 21:00,29.1,84.4,Patchy light rain with thunder,75,3.6,1008.0
2025-04-11 22:00,28.9,83.9,Patchy rain nearby,66,4.7,1009.0
2025-04-11 23:00,28.7,83.7,Light rain shower,70,3.2,1008.0
